"Fon Kodu","Fon Adı","Şemsiye Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"CTP","İŞ PORTFÖY AAF SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","-","-","0,0000","-","-","-","-"
"IMM","İŞ PORTFÖY ASİST SERBEST ÖZEL FON","Serbest Şemsiye Fonu","1,0658","3,9269","8,5649","2,5497","-","-","-"
"CTF","İŞ PORTFÖY ASSG SERBEST ÖZEL FON","Serbest Şemsiye Fonu","4,4959","-2,2255","-","1,9122","-","-","-"
"IDH","İŞ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","0,7945","-","-","18,9341","-","-","-"
"ILZ","İŞ PORTFÖY BİRİNCİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","-","-","-","-","-","-","-"
"KPK","İŞ PORTFÖY DURUSU SERBEST ÖZEL FON","Serbest Şemsiye Fonu","4,5667","1,1104","-","3,3908","-","-","-"
"EMS","İŞ PORTFÖY EMSA SERBEST ÖZEL FON","Serbest Şemsiye Fonu","-","-","0,0000","-","-","-","-"
"NBF","İŞ PORTFÖY ESEN SERBEST ÖZEL FON","Serbest Şemsiye Fonu","-","-","0,0000","-","-","-","-"
"CTG","İŞ PORTFÖY FEFON SERBEST  ÖZEL FON","Serbest Şemsiye Fonu","1,8518","-2,9904","-","3,4158","-","-","-"
"IOG","İŞ PORTFÖY GÜMÜŞ SERBEST FON","Serbest Şemsiye Fonu","0,0060","-0,0506","-","-3,2416","-","-","-"
"IHK","İŞ PORTFÖY İŞ'TE KADIN HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-","-","-","-","-","-","-"
"CTM","İŞ PORTFÖY KEFON SERBEST ÖZEL FON","Serbest Şemsiye Fonu","4,0310","-2,4575","-","3,6661","-","-","-"
"CTV","İŞ PORTFÖY MHA SERBEST ÖZEL FON","Serbest Şemsiye Fonu","4,6521","11,6983","-","2,0858","-","-","-"
"FBV","İŞ PORTFÖY MODEL SERBEST FON","Serbest Şemsiye Fonu","-0,8037","-","-","-1,1317","-","-","-"
"KKH","İŞ PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","1,2592","3,7670","-","2,6660","-","-","-"
"IOP","İŞ PORTFÖY ODEABANK PARA PİYASASI FONU","Para Piyasası Şemsiye Fonu","1,2416","3,7385","6,5297","2,6444","-","-","-"
"IKL","İŞ PORTFÖY SAĞLIK ŞİRKETLERİ KARMA FON","Karma Şemsiye Fonu","-","-","-","-","-","-","-"
"ITP","İŞ PORTFÖY TEKNOLOJİ KARMA FON","Karma Şemsiye Fonu","-0,8127","-","-","-","-","-","-"
"IUU","İŞ PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,5820","-1,0519","8,1020","2,0499","-","-","-"
"IKP","İŞ PORTFÖY YENİLENEBİLİR ENERJİ KARMA FON","Karma Şemsiye Fonu","-","-","-","-","-","-","-"
"KPB","KARE PORTFÖY ÖPY BİRİNCİ SERBEST ÖZEL FON","Serbest Şemsiye Fonu","3,7482","1,9673","-","4,5581","-","-","-"
"K1R","KRS FONUNA BAĞLı YAN HESAP (TRSAEST91911)","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"KPC","KT PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","0,7102","17,6741","54,4968","9,2854","-","-","-"
"ZAY","KT PORTFÖY SEPET HESAP KISA VADELİ KİRA SERTİFİKALARI KATILIM FONU","Katılım Şemsiye Fonu","1,2140","3,3025","5,8637","2,5196","-","-","-"
"MMA","MAQASİD PYŞ ALTIN KATILIM FONU","Kıymetli Madenler Şemsiye Fonu","-","-","-","-","-","-","-"
"ONN","MÜKAFAT PORTFÖY AKTİF ONİKS SERBEST FON","Serbest Şemsiye Fonu","1,3815","4,3746","8,1551","2,9789","-","-","-"
"MKH","MÜKAFAT PORTFÖY AKTİF SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"MKG","MÜKAFAT PORTFÖY ALTIN KATILIM FONU","Katılım Şemsiye Fonu","-1,3535","-11,5794","-12,6853","-8,9331","-","-","-"
"MMH","MÜKAFAT PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-0,2382","9,8819","31,3631","-0,2292","-","-","-"
