"oncekifiyat","tarih","fonkodu","fonadi","fiyat","paysayisi","kisisayisi","toplamdeger","tarih","fonkodu","fonadi","bankabonosu","diger","dovizodemebono","devlettahvili","dovizodemetahvil","eurobond","finansmanbonosu","fonkatilmabelgesi","gayrimenkulsertifikasi","hazinebonosu","hissesenedi","kamudisiborcaraclari","katilimhesabi","kamukirasertifikalari","kiymetlimadenler","ozelsektorkirasertifikalari","ozelsektortahvili","repo","turevaraclari","tpp","tersrepo","varligadaymenkulkiymetler","vadelimevduat","yabanciborclanmaaraclari","yabancihissesenedi","yabancimenkulkiymet"
,2021-01-04,AIR,AZİMUT PORTFÖY ESİN SERBEST (DÖVİZ) ÖZEL FON,10.486582,15742.0,1.0,165079.77,2021-01-04,AIR,AZİMUT PORTFÖY ESİN SERBEST (DÖVİZ) ÖZEL FON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
,2021-01-04,AIS,AK PORTFÖY KİRA SERTİFİKALARI KATILIM FONU,0.02067,827158007,1320.0,17097610.75,2021-01-04,AIS,AK PORTFÖY KİRA SERTİFİKALARI KATILIM FONU,0,0,0,0,0,0,0,0,0,0,0,0,13.43,8.15,0,78.35,0,0,0,0,0,0,0,0,0,0
,2021-01-04,AJE,AK PORTFÖY ÜÇÜNCÜ SERBEST ( DÖVİZ ) FON,8.233416,67080866,232.0,552304688.36,2021-01-04,AJE,AK PORTFÖY ÜÇÜNCÜ SERBEST ( DÖVİZ ) FON,0,0,0,0,0,98.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37,0,0,0
,2021-01-04,AJK,AK PORTFÖY İKINCI SERBEST (DÖVIZ) FON,8.664629,111896941,499.0,969545426.81,2021-01-04,AJK,AK PORTFÖY İKINCI SERBEST (DÖVIZ) FON,0,0,0,0,0,99.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,0,0,0
,2021-01-04,AJL,AK PORTFÖY BEŞİNCİ SERBEST (DÖVIZ) FON,7.246485,123650129,777.0,896028863.47,2021-01-04,AJL,AK PORTFÖY BEŞİNCİ SERBEST (DÖVIZ) FON,0,0,0,0,0,99.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0
,2021-01-04,AJN,AK PORTFÖY DÖRDÜNCÜ SERBEST (DÖVIZ) FON,7.978675,52771156,477.0,421043900.73,2021-01-04,AJN,AK PORTFÖY DÖRDÜNCÜ SERBEST (DÖVIZ) FON,0,0,0,0,0,98.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,0,0,0
,2021-01-04,AK2,AK PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU,0.237319,165491226,10730.0,39274201.53,2021-01-04,AK2,AK PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU,0,0,0,86.65,0,0,4.42,0,0,0,0,0,0,0,0,0,0,0,0,1.48,7.65,0,0,0,0,0
,2021-01-04,AK3,AK PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),3.055444,70456793,2069.0,215276817.42,2021-01-04,AK3,AK PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),0,0,0,1.46,0,0,0,0,0,0,92.22,0,0,0,0,0,0,0,3.27,3.05,0,0,0,0,0,0
,2021-01-04,AKE,AK PORTFÖY EUROBOND (AMERİKAN DOLARI) BORÇLANMA ARAÇLARI FONU,0.067219,8156409966,6843.0,548269443.62,2021-01-04,AKE,AK PORTFÖY EUROBOND (AMERİKAN DOLARI) BORÇLANMA ARAÇLARI FONU,0,0.22,0,0,0,96.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46,0,0.64,0,0,0
,2021-01-04,AKU,AK PORTFÖY BİST 30 ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),0.089025,616457743,3958.0,54880262.98,2021-01-04,AKU,AK PORTFÖY BİST 30 ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),0,0,0,0.91,0,0,0,0,0,0,92.63,0,0,0,0,0,0,0,0.73,5.73,0,0,0,0,0,0
