"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"01.07.2021","AVT","AK PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI FONU","46,694919","12.872.629,00","17.588","601.086.367,65"
"01.07.2021","AVZ","AK PORTFÖY SERBEST ( DÖVİZ ) FONU","10,662276","18.534.831,00","46","197.623.474,50"
"01.07.2021","AYA","ATA PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","2,312113","23.441.132,00","330","54.198.549,92"
"01.07.2021","AYR","AK PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU","0,026952","27.812.379.512,00","10.894","749.605.807,80"
"01.07.2021","AZF","AK PORTFÖY PY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI ÖZEL FONU","0,030920","7.367.880.536,00","13","227.812.210,97"
"01.07.2021","AZJ","AZİMUT PYŞ STRATEJİ-1 SERBEST FON","2,148944","267.839.869,00","368","575.572.866,48"
"01.07.2021","AZV","AZİMUT PYŞ BKS SERBEST ÖZEL FON","3,203002","268.430.993,00","4","859.785.043,37"
"01.07.2021","AZZ","AK PORTFÖY ÖPY MUTLAK GETİRİ HEDEFLİ SERBEST (DÖVİZ) ÖZEL FON","0,000000","0,00","0","1,00"
"01.07.2021","BGP","AK PORTFÖY ÜÇÜNCÜ PARA PİYASASI FONU","1,162204","47.373.804,00","168","55.058.045,41"
"01.07.2021","BJD","AZİMUT PORTFÖY 13.0 SERBEST (DÖVİZ) FON","8,676629","459.912,00","5","3.990.485,95"
"01.07.2021","BJO","AZİMUT PORTFÖY DELTA SERBEST ÖZEL FON","0,000000","0,00","0","0,00"
"01.07.2021","CEY","İŞ PORTFÖY CEY SERBEST (DÖVİZ) ÖZEL FON","8,966790","4.864.542,00","1","43.619.327,40"
"01.07.2021","CJD","AK PORTFÖY SEKİZİNCİ SERBEST (DÖVİZ) FON","8,742051","20.186.576,00","80","176.472.074,84"
"01.07.2021","CJF","AK PORTFÖY ÖPY BİRİNCİ SERBEST (DÖVİZ) ÖZEL FON","0,000000","0,00","0","0,00"
"01.07.2021","CJG","AK PORTFÖY SDSD SERBEST (DÖVİZ) ÖZEL FON","8,659541","16.006.353,00","1","138.607.662,12"
"01.07.2021","CTF","İŞ PORTFÖY ASSG SERBEST (DÖVİZ) ÖZEL FON","1,201644","12.268.389,00","1","14.742.236,95"
"01.07.2021","CTG","İŞ PORTFÖY FEFON SERBEST  ÖZEL FON","1,203218","107.823.962,00","2","129.735.689,53"
"01.07.2021","CTM","İŞ PORTFÖY KEFON SERBEST ÖZEL FON","1,228141","105.983.679,00","2","130.162.901,18"
"01.07.2021","CTP","İŞ PORTFÖY AAF SERBEST (DÖVİZ) ÖZEL FON","8,039294","6.196.858,00","1","49.818.364,00"
"01.07.2021","CTV","İŞ PORTFÖY MHA SERBEST (DÖVİZ) ÖZEL FON","1,361896","62.818.798,00","1","85.552.663,06"
"01.07.2021","DAH","DENİZ PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","0,275141","84.880.300,00","314","23.354.074,97"
"01.07.2021","DAI","DENİZ PORTFÖY ARTI SERBEST (DÖVİZ) ÖZEL FON","12,008286","3.915.018,00","4","47.012.655,45"
"01.07.2021","DAT","DENİZ PORTFÖY ARMUT SERBEST (DÖVİZ) ÖZEL FON","12,051763","3.198.835,00","5","38.551.600,20"
"01.07.2021","DAZ","DENİZ PORTFÖY TÜRKİZ SERBEST(DÖVİZ) ÖZEL FON","1,115069","90.073.743,00","3","100.438.444,15"
"01.07.2021","DBA","DENİZ PORTFÖY ALTIN FONU","0,058829","2.283.194.500,00","8.650","134.317.349,96"
"01.07.2021","DBB","DENİZ PORTFÖY ORTA VADELİ BORÇLANMA ARAÇLARI FONU","0,027275","76.881.800,00","190","2.096.981,15"
"01.07.2021","DBG","DENİZ PORTFÖY BEYAZ SERBEST ÖZEL FONU","0,070660","2.338.240.000,00","5","165.218.966,12"
"01.07.2021","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,045771","1.785.644.600,00","1.620","81.730.090,50"
"01.07.2021","DBK","DENİZ PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI FONU","0,024273","6.998.762.998,00","97.682","169.878.464,55"
"01.07.2021","DBP","DENİZ PORTFÖY BİRİNCİ DEĞİŞKEN FON","0,047123","474.126.900,00","404","22.342.497,12"
"01.07.2021","DBZ","DENİZ PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU","0,027379","2.897.454.700,00","657","79.328.798,09"
"01.07.2021","DCP","DENİZ PORTFÖY CÖMERT SERBEST (DÖVİZ) ÖZEL FON","9,426663","5.735.450,00","2","54.066.154,55"
"01.07.2021","DDA","DENİZ PORTFÖY ALTINCI SERBEST FON","1,158460","25.700.927,00","33","29.773.485,83"
"01.07.2021","DDC","DENİZ PORTFÖY DÖRDÜNCÜ SERBEST FON","1,247683","5.331.950,00","16","6.652.581,84"
"01.07.2021","DDE","DENİZ PORTFÖY BADE SERBEST (DÖVİZ) ÖZEL FON","10,544711","5.710.771,00","1","60.218.427,21"
"01.07.2021","DDF","DENİZ PORTFÖY DİNAMO SERBEST FON","1,496242","11.086.274,00","30","16.587.753,66"
"01.07.2021","DDP","DENİZ PORTFÖY SK SERBEST (DÖVİZ) ÖZEL FON","10,655050","1.210.806,00","1","12.901.197,96"
"01.07.2021","DDS","DENİZ PORTFÖY DAMLA SERBEST ÖZEL FON","3,327172","6.084.075,00","1","20.242.761,03"
"01.07.2021","DFL","DENİZ PORTFÖY OLMİ SERBEST ÖZEL FON","0,000000","0,00","0","0,00"
"01.07.2021","DFZ","DENİZ PORTFÖY LARA SERBEST ÖZEL FON","1,022484","81.949.209,00","1","83.791.736,96"
"01.07.2021","DGH","ATA PORTFÖY ÜÇÜNCÜ SERBEST FONU","1,892514","47.778.501,00","15","90.421.503,65"
"01.07.2021","DLY","DENİZ PORTFÖY PARA PİYASASI FONU","1,142737","3.041.378.764,00","238.178","3.475.496.979,20"
"01.07.2021","DNO","DENİZ PORTFÖY NECLA SERBEST (DÖVİZ) ÖZEL FON","12,558403","906.615,00","3","11.385.636,41"
"01.07.2021","DOF","DENİZ PORTFÖY KUZEY SERBEST (DÖVİZ) ÖZEL FON","0,000000","0,00","0","0,00"
"01.07.2021","DOS","DENİZ PORTFÖY OLMİ SERBEST (DÖVİZ) ÖZEL FON","7,795057","42.136.688,00","1","328.457.874,20"
"01.07.2021","DPA","DENİZ PORTFÖY ARSLAN SERBEST (DÖVİZ) ÖZEL FON","9,507361","1.610.982,00","1","15.316.188,24"
"01.07.2021","DPB","DENİZ PORTFÖY SERBEST (DÖVİZ) FON","2,755123","228.985.490,00","315","630.883.236,74"
"01.07.2021","DPC","DENİZ PORTFÖY FRS SERBEST (DÖVİZ) ÖZEL FON","12,705297","5.842.859,00","1","74.235.257,30"
"01.07.2021","DPE","DENİZ PORTFÖY EGE SERBEST (DÖVİZ) ÖZEL FON","2,916089","65.456.679,00","1","190.877.517,18"
"01.07.2021","DPG","DENİZ PORTFÖY ESMER SERBEST (DÖVİZ) ÖZEL FON","12,045353","5.584.582,00","2","67.268.261,01"
"01.07.2021","DPI","DENİZ PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST FON","1,266039","224.283.451,00","286","283.951.597,60"
"01.07.2021","DPK","DENİZ PORTFÖY KİRA SERTİFİKALARI KATILIM FONU","1,783604","13.188.896,00","252","23.523.773,57"
"01.07.2021","DPL","DENİZ PORTFÖY NİL SERBEST (DÖVİZ) ÖZEL FON","13,874332","27.068.017,00","1","375.550.658,37"
"01.07.2021","DPN","DENİZ PORTFÖY NEVA SERBEST (DÖVİZ) ÖZEL FON","11,237289","5.330.195,00","1","59.896.942,61"
"01.07.2021","DPP","DENİZ PORTFÖY HLC SERBEST (DÖVİZ) ÖZEL FON","12,948552","29.914.174,00","2","387.345.247,91"
"01.07.2021","DPT","DENİZ PORTFÖY BİST TEMETTÜ 25 ENDEKSİ HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON )","1,773504","5.605.069,00","701","9.940.614,46"
"01.07.2021","DPU","DENİZ PORFÖY TUAL SERBEST (DÖVİZ) ÖZEL FON","0,000000","0,00","1","0,00"
"01.07.2021","DPV","DENİZ PORTFÖY ENDA SERBEST ÖZEL FON","2,278588","11.391.767,00","1","25.957.147,48"
"01.07.2021","DPZ","DENİZ PORTFÖY YAZ SERBEST (DÖVİZ) ÖZEL FON","10,594921","1.685.537,00","1","17.858.132,08"
