"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"01.04.2021","ICG","İŞ PORTFÖY ARCADİA SERBEST (DÖVİZ) ÖZEL FON","8,738044","1.588.718,00","1","13.882.288,32"
"01.04.2021","ICS","ICBC TURKEY PORTFÖY SERBEST (DÖVİZ) FON","8,895856","2.422.777,00","1","21.552.675,38"
"01.04.2021","ICV","ICBC TURKEY PORTFÖY BİRİNCİ SERBEST FON","1,018219","1.500.000,00","1","1.527.328,80"
"01.04.2021","ICZ","AK PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","1,067874","35.371.689,00","2.452","37.772.506,95"
"01.04.2021","IDD","LOGOS PORTFÖY DİNAMİK DAĞIMLI SERBEST FON","0,032419","161.713.800,00","4","5.242.676,56"
"01.04.2021","IDF","İŞ PORTFÖY SERBEST (DÖVİZ) FON","9,624430","28.147.467,00","243","270.903.317,81"
"01.04.2021","IDH","İŞ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","1,161777","143.859.511,00","5.508","167.132.676,01"
"01.04.2021","IDL","MÜKAFAT PORTFÖY PARA PİYASASI FONU","1,051364","353.449.719,00","330","371.604.186,02"
"01.04.2021","IDP","İSTANBUL PORTFÖY DOĞAN SERBEST ÖZEL FON","1,051657","47.035.700,00","1","49.465.434,47"
"01.04.2021","IDY","TEB PORTFÖY İKİNCİ DEĞİŞKEN FON","0,031487","3.241.220.511,38","1.250","102.056.328,93"
"01.04.2021","IFY","İSTANBUL PORTFÖY ÖPY BİRİNCİ SERBEST ÖZEL FON","1,070190","50.078.000,00","1","53.592.986,22"
"01.04.2021","IGL","TEB PORTFÖY ING BANK PARA PİYASASI FONU","107,566086","2.002.094,00","11.003","215.357.416,22"
"01.04.2021","IHK","İŞ PORTFÖY İŞ'TE KADIN HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","0,911240","23.288.232,00","1.044","21.221.168,25"
"01.04.2021","IID","İŞ PORTFÖY İKİNCİ SERBEST (DÖVİZ) FON","8,500921","10.400.000,00","22","88.409.581,32"
"01.04.2021","IIH","İSTANBUL PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","1,659626","12.939.579,00","323","21.474.863,02"
"01.04.2021","IIP","İSTANBUL PORTFÖY ARİES SERBEST FON","0,045645","5.522.349.815,01","128","252.065.557,18"
"01.04.2021","IIS","İSTANBUL PORTFÖY İKİNCİ SERBEST FON","4,910219","95.581.252,94","239","469.324.862,21"
"01.04.2021","IKL","İŞ PORTFÖY SAĞLIK ŞİRKETLERİ KARMA FON","1,121969","16.471.507,00","1.305","18.480.516,69"
"01.04.2021","IKP","İŞ PORTFÖY YENİLENEBİLİR ENERJİ KARMA FON","1,122181","27.837.195,00","1.138","31.238.380,82"
"01.04.2021","ILZ","İŞ PORTFÖY BİRİNCİ FON SEPETİ FONU","1,011428","3.812.202,00","208","3.855.767,18"
"01.04.2021","IMF","İSTANBUL PORTFÖY MAESTRO SERBEST FON","1,258493","35.625.590,00","17","44.834.569,86"
"01.04.2021","IMH","İŞ PORTFÖY ANADOLU HAYAT EMEKLİLİK SERBEST ÖZEL FON","1,263856","95.803.384,00","1","121.081.724,94"
"01.04.2021","IMM","İŞ PORTFÖY ASİST SERBEST ÖZEL FON","0,000000","0,00","1","0,00"
"01.04.2021","IMO","İŞ PORTFÖY ODAK SERBEST ÖZEL FON","1,408506","97.281.810,00","3","137.021.999,19"
"01.04.2021","IMS","İŞ PORTFÖY MERMER SERBEST ÖZEL FON","1,716642","51.323.550,00","4","88.104.153,87"
"01.04.2021","IMT","İŞ PORTFÖY TOROS SERBEST (DÖVİZ) ÖZEL FON","8,123005","4.500.263,00","2","36.555.656,94"
"01.04.2021","IMV","İŞ PORTFÖY MAVİ SERBEST (DÖVİZ) ÖZEL FON","0,000000","0,00","1","0,00"
"01.04.2021","IMY","İŞ PORTFÖY SKYLARK SERBEST (DÖVİZ) ÖZEL FON","9,099045","11.451.579,00","6","104.198.433,10"
"01.04.2021","IMZ","İŞ PORTFÖY POYRAZ SERBEST (DÖVİZ) ÖZEL FON","8,499247","4.518.762,00","7","38.406.073,96"
"01.04.2021","INH","GARANTİ PORTFÖY ING BANK ÖZEL BANKACILIK VE PLATİNUM DEĞİŞKEN ÖZEL FON","1,756259","84.427.380,00","491","148.276.377,61"
"01.04.2021","IOG","İŞ PORTFÖY GÜMÜŞ SERBEST FON","1,027063","129.436.116,00","446","132.939.009,79"
"01.04.2021","IOP","İŞ PORTFÖY ODEABANK PARA PİYASASI FONU","1,113303","324.853.112,00","1.217","361.659.895,94"
"01.04.2021","IPA","İŞ PORTFÖY SÜTAŞ İKİNCİ SERBEST ÖZEL FON","0,062456","1.386.567.139,00","17","86.599.586,07"
"01.04.2021","IPB","İSTANBUL PORTFÖY BİRİNCİ DEĞİŞKEN FON","0,045460","511.178.220,57","651","23.238.154,17"
"01.04.2021","IPC","İŞ PORTFÖY CK SERBEST ÖZEL FON","5,284741","16.763.387,00","1","88.590.161,30"
"01.04.2021","IPE","İŞ PORTFÖY ANADOLU SİGORTA SERBEST ÖZEL FON","2,133942","264.373.833,00","3","564.158.449,77"
"01.04.2021","IPF","PERFORM PORTFÖY İKİNCİ SERBEST FON","0,023269","3.299.812.268,00","6","76.782.672,58"
"01.04.2021","IPG","İŞ PORTFÖY KAPİTAL SERBEST FON","1,518955","79.357.008,00","13","120.539.710,21"
"01.04.2021","IPI","İŞ PORTFÖY BİRİKİM HESABI KISA VADELİ BORÇLANMA ARAÇLARI FONU","1,729336","46.494,00","2","80.403,76"
"01.04.2021","IPJ","İŞ PORTFÖY ELEKTRİKLİ ARAÇLAR KARMA FON","2,544708","275.342.995,00","22.584","700.667.577,44"
"01.04.2021","IPK","İŞ PORTFÖY KOS SERBEST ÖZEL FON","5,648015","64.762.446,00","1","365.779.245,87"
"01.04.2021","IPO","İŞ PORTFÖY ONUR SERBEST ÖZEL FON","4,049051","42.386.832,00","4","171.626.461,56"
"01.04.2021","IPP","PERFORM PORTFÖY BIRINCI SERBEST FON","0,014802","4.072.519.676,00","24","60.281.504,23"
"01.04.2021","IPR","İŞ PORTFÖY ICARUS SERBEST ÖZEL FON","5,626851","60.334.794,00","3","339.494.896,50"
"01.04.2021","IPU","İŞ PORTFÖY AS SERBEST ÖZEL FON","5,754426","116.663.621,00","1","671.332.229,65"
"01.04.2021","IPV","İŞ PORTFÖY EUROBOND BORÇLANMA ARAÇLARI (DÖVİZ) FONU","9,757921","41.436.087,00","4.671","404.330.053,07"
"01.04.2021","ISR","İŞ PORTFÖY BİRİNCİ SERBEST ÖZEL FON","2,697232","59.816.143,00","13","161.338.024,38"
"01.04.2021","ISS","İŞ PORTFÖY DEĞER SERBEST ÖZEL FON","0,032614","705.278.684,00","8","23.001.907,54"
"01.04.2021","IST","İSTANBUL PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI FONU","0,033222","29.670.999.305,77","1.242","985.743.160,55"
"01.04.2021","ITJ","İSTANBUL PORTFÖY SEKİZİNCİ SERBEST FON","0,000000","0,00","0","0,00"
"01.04.2021","ITP","İŞ PORTFÖY TEKNOLOJİ KARMA FON","1,038176","35.979.463,00","2.709","37.353.022,01"
"01.04.2021","IUU","İŞ PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON","9,179048","2.600.000,00","5","23.865.524,60"
"01.04.2021","IYB","AURA PORTFÖY DEĞİŞKEN FONU","0,791384","17.215.006,00","76","13.623.678,98"
"01.04.2021","IYP","İSTANBUL PORTFÖY YILDIZ SERBEST ÖZEL FON","0,000000","0,00","0","0,00"
"01.04.2021","IYR","İŞ PORTFÖY HEDEF SERBEST FON","0,032053","9.561.491.217,00","49","306.478.221,58"
"01.04.2021","IYS","İŞ PORTFÖY SÜTAŞ SERBEST ÖZEL FON","0,122418","8.440.982.262,00","19","1.033.325.392,08"
"01.04.2021","IZB","İSTANBUL PORTFÖY BİRİNCİ FON SEPETİ SERBEST FON","0,000000","0,00","0","0,00"
"01.04.2021","IZF","QİNVEST PORTFÖY İKİNCİ KATILIM SERBEST FON","1,007898","5.287.196,00","6","5.328.956,10"
"01.04.2021","IZS","İSTANBUL PORTFÖY ALTINCI SERBEST FON","1,266038","3.631.090,00","10","4.597.097,52"
"01.04.2021","IZV","İSTANBUL PORTFÖY YEDİNCİ SERBEST FON","0,000000","0,00","0","0,00"
"01.04.2021","KFK","AZİMUT PORTFÖY KAAN SERBEST ÖZEL FON","1,074816","68.450.230,00","2","73.571.432,24"
"01.04.2021","KIS","QİNVEST PORTFÖY KİRA SERTİFİKASI KATILIM (DÖVİZ) FONU","0,031736","1.281.228.038,00","529","40.661.003,86"
"01.04.2021","KKH","İŞ PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON","1,075610","47.673.575,00","1.205","51.278.185,58"
"01.04.2021","KLU","KT PORTFÖY PARA PİYASASI KATILIM FONU","0,000000","0,00","0","0,00"
"01.04.2021","KOP","QİNVEST PORTFÖY İKİNCİ SERBEST FON","0,958965","177.981.157,00","1","170.677.753,43"
"01.04.2021","KPB","KARE PORTFÖY ÖPY BİRİNCİ SERBEST ÖZEL FON","1,121081","56.582.555,00","1","63.433.618,28"
"01.04.2021","KPC","KT PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","1,466082","66.241.927,00","2.547","97.116.103,25"
"01.04.2021","KPK","İŞ PORTFÖY DURUSU SERBEST ÖZEL FON","1,128853","47.505.771,00","2","53.627.008,54"
"01.04.2021","KRC","KARE PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU","0,028458","962.312.983,00","192","27.385.793,96"
"01.04.2021","KRF","KARE PORTFÖY BİRİNCİ DEĞİŞKEN FON","1,820564","25.749.583,00","105","46.878.765,31"
"01.04.2021","KRS","KARE PORTFÖY SERBEST (DÖVİZ) FON","0,073935","257.082.076,00","15","19.007.324,23"
"01.04.2021","KRT","KARE PORTFÖY TÜRKİYE ODAKLI SERBEST (DÖVİZ ) FON","9,131952","2.208.662,00","9","20.169.395,19"
"01.04.2021","KSD","QİNVEST PORTFÖY BİRİNCİ KATILIM SERBEST FON","0,000000","0,00","1","0,00"
"01.04.2021","KSV","KT PORTFÖY KISA VADELİ KATILIM SERBEST FON","1,127879","389.466.274,00","81","439.270.876,39"
"01.04.2021","KSY","YAPI KREDİ PORTFÖY PY KANDİLLİ SERBEST ÖZEL FON","1,250893","48.172.387,00","22","60.258.487,80"
"01.04.2021","KTE","KT PORTFÖY CEYLAN KİRA SERTİFİKALARI KATILIM SERBEST(DÖVİZ) ÖZEL FON","5,543984","3.630.416,00","1","20.126.967,74"
"01.04.2021","KTM","KT PORTFÖY BİRİNCİ KATILIM FONU","2,390188","31.781.656,00","2.227","75.964.133,95"
"01.04.2021","KTN","KT PORTFÖY KİRA SERTİFİKALARI KATILIM FONU","1,865268","14.147.018,00","925","26.387.976,28"
